cohort,policy_family,policy,method_label,median_ess_fraction,IS,WIS,CWPDIS,DR,WDR,FQE
respiratory,model_free,discrete_cql,Discrete CQL,0.0005820178476984,16616.317442749278,5.720581876778387,,2040.9324873973121,,2.3298011792506435
respiratory,model_free,discrete_iql,Discrete IQL,0.0003189362953386,453.55027900114027,0.012205022613564894,,-10937.848564385882,,2.504356101586932
respiratory,model_free,soft_spibb,Count-blend adapter,0.0004075300693474,20137.26117346292,5.893171509575022,,2606.2985693902956,,2.325400526008899
shock,control,empirical_behavior,Behavior,1.0,2.496338186949042,2.496338186949042,3.69139869266848,2.504939465000908,2.146727791837853,3.7639400294119714
shock,control,supported_random,Supported random,0.0017594502136795,0.2203686425792183,0.9245213862956104,4.254169686629786,2.6455343969065206,3.008698946666137,3.1548067296802107
shock,control,fixed_minimum_action,Minimum action,0.109572634953042,1.0238869310433902,2.30456772463813,3.8906685471733753,1.8416670127793,2.830637493274907,3.875426311724229
shock,control,fixed_maximum_action,Maximum action,0.0002293172761127,4.070349347893595,7.702577615328318,3.5784071166453657,45.80989632902968,5.434463840963196,3.3958902143111325
shock,control,state_dependent_severity_rule,Severity rule,0.0088119635254797,0.1895103520697053,1.4363906663812942,3.932920039907782,7.024219400614035,2.239148909145367,3.067388679814073
shock,model_free,behavior_cloning,Behavior cloning,0.0001271632168719,12587898.411701934,2.7159041823204206,3.6469264358480156,-580746.339088973,3.1290241019299327,3.7572932630691938
shock,model_free,decision_transformer,Decision Transformer,0.0001223826223872,5682147.567354243,2.8551183674134246,3.6575176442945647,-252638.7147470192,3.0307356440956785,3.774781308131365
shock,model_free,discrete_bcq,Discrete BCQ,0.0001413731239564,333.0819089344541,5.482880021326004,4.202228832004663,-16.323569477572793,2.931845918374471,3.8011997553945807
shock,model_free,discrete_cql,Discrete CQL,0.0001604584350298,8786923.613885336,2.4877474699800968,3.682844090159538,-476206.1454970422,3.1536862177513245,3.760716494695251
shock,model_free,discrete_iql,Discrete IQL,0.0001874091808503,23494.351443464533,2.7472510280289044,3.7754022447993587,151.4884061211062,3.08342801735245,3.7662893432404796
shock,model_free,soft_spibb,Count-blend adapter,0.0001611037858481,8719007.623530822,2.4896566797613846,3.6832715797813016,-470320.71715127164,3.1640105011970756,3.7609525229605034
aki,control,empirical_behavior,Behavior,1.0,0.2458817827702842,0.2458817827702842,0.408936726058328,0.2434543055875347,-0.2676141168221827,2.760014345765502
aki,control,supported_random,Supported random,0.0004749052065571,1235.1129601521054,0.7527175345807754,-0.1058095321564897,621.2376193222293,3.134493943508636,2.4369928673381445
aki,control,fixed_minimum_action,Minimum action,0.3232207065115962,0.1073128165631484,0.2095063888634333,0.2805636774104703,-905.474057389413,-0.5797542369652617,2.065333015783417
aki,control,fixed_maximum_action,Maximum action,0.0016236756627236,-0.1701074666639269,-0.5753502192660596,-1.1724170724000849,151293.7137500607,1.8224148671733,1.5913660124836484
aki,control,state_dependent_severity_rule,Severity rule,0.0002974476813406,-5.141868118810012,-0.8755557676549623,0.4001122729352949,131350.67345762247,1.420573823168589,1.065575495622081
aki,model_free,behavior_cloning,Behavior cloning,0.00066697884446,-2245.79069575712,-0.5378325062067931,0.33416878046600645,-2718.9589749021384,0.45726675124045607,2.750221707387355
aki,model_free,decision_transformer,Decision Transformer,0.0005462267263609,-9238.570230066724,-0.539175292017659,0.337778805801295,-8592.712893022677,-0.10883342525916707,2.764494824753084
aki,model_free,discrete_bcq,Discrete BCQ,0.0005212165135146,-18.558860326433855,-0.7244745468003816,0.5074152783582513,2.710864538598848,-0.17343251123806203,3.0001338823993007
aki,model_free,discrete_cql,Discrete CQL,0.0007486391352839,-9361.509578996312,-0.7802298018223869,0.3245771494526457,-13026.680760458985,0.6084847313639656,2.7594019883744
aki,model_free,discrete_iql,Discrete IQL,0.000686954154879,-3646.762126557363,-0.7435771876832513,0.31184144727271607,-1857.7020090081141,0.3159705470734511,2.76584451545873
aki,model_free,soft_spibb,Count-blend adapter,0.0007357660948989,-8957.765951949812,-0.7736588223284716,0.32529995133538037,-12676.851407632952,0.5400525654716721,2.759477727286761
heart_failure,control,empirical_behavior,Behavior,1.0,0.6576833787551503,0.6576833787551503,,0.6945591021435557,,6.711154946197879
heart_failure,control,supported_random,Supported random,0.0002278604981619,47129453.41769155,0.9135130568559012,,7355985.377255692,,6.530733585849339
heart_failure,control,fixed_minimum_action,Minimum action,0.1690542728926629,0.4443256079605537,0.6822770627232658,,-26852.31577287779,,6.58540485553816
heart_failure,control,fixed_maximum_action,Maximum action,0.0790745850642518,0.3607258114604685,0.4961999394784833,,-496.9440986723896,,6.580119433353096
heart_failure,control,state_dependent_severity_rule,Severity rule,0.000231278074603,346.95270650818844,0.9132951031082214,,-1130.4226928723158,,6.761546426624489
heart_failure,model_free,behavior_cloning,Behavior cloning,0.0002273661302429,90251982.44021201,0.9135042967386776,,14045739.56842824,,6.664229480609276
heart_failure,model_free,decision_transformer,Decision Transformer,0.0002272734355932,100268890.00384885,0.913503683437518,,15581797.522598945,,6.662052277820127
heart_failure,model_free,discrete_bcq,Discrete BCQ,0.0002282202851802,35587659.6875953,0.9062094037256444,,5484774.566975786,,6.752823566759773
heart_failure,model_free,discrete_cql,Discrete CQL,0.0002273334106663,89138295.5972452,0.9135148438310853,,13880366.914273106,,6.658491109624356
heart_failure,model_free,discrete_iql,Discrete IQL,0.0002272046048926,95497454.98622173,0.913510214655712,,14865008.68264559,,6.675216118120155
heart_failure,model_free,soft_spibb,Count-blend adapter,0.0002273320461055,89162249.50521834,0.9135148582188863,,13883947.216856876,,6.658557217715323
