profile,profile_index,environment_seed,environment_index,action_count,feature_count,horizon,mechanism_sha256,train_seed_namespace,validation_seed_namespace,final_exogenous_seed_namespace,logged_dataset_count,episodes_per_logged_dataset,bootstrap_refits_per_dataset_contract,entrant_visible_latent_state,entrant_visible_subtype,final_role_open_to_training
aki,3,171903,2,4,33,11,a18d183caf570d7f3e692179b7e1ef3576da1480d28b00e376161d51f63f6027,1994171903,1995171903,1996171903,8,256,500,False,False,False
aki,3,171904,3,4,33,11,ccf0f4c0f8a3c8e0d2d8de71f3a59474c2e3e78e034c805a5337ba5610929e09,1994171904,1995171904,1996171904,8,256,500,False,False,False
aki,3,171905,4,4,33,11,1edd07c2da4ce53f3c8dea3cd6a5d062129897145994fe6e7a908bf06f3c7107,1994171905,1995171905,1996171905,8,256,500,False,False,False
aki,3,171906,5,4,33,11,0b588c11260f8c01a14326f23ac9b5b7e1507f291025d2a1132b685794437552,1994171906,1995171906,1996171906,8,256,500,False,False,False
aki,3,171907,6,4,33,11,ee53f2044305e7871e18aba516f643ea822b3bf12a7fd7979235a0b5d48bf13e,1994171907,1995171907,1996171907,8,256,500,False,False,False
aki,3,171908,7,4,33,11,5d9cb7155e16fd180007c64d94cd9159bd0abc081264f2c62f575e0278855dd0,1994171908,1995171908,1996171908,8,256,500,False,False,False
heart_failure,4,171901,0,2,33,11,06cc0cb7e3ed00ba351d97026f6916ce2882e6b979995bce8d1f89fc27486e9c,1995171901,1996171901,1997171901,8,256,500,False,False,False
heart_failure,4,171902,1,2,33,11,99bf6fa9d22ac856ae0db0e14ba821e0f31222b8cdacb2ee3fc0c36aa6e06bbe,1995171902,1996171902,1997171902,8,256,500,False,False,False
heart_failure,4,171903,2,2,33,11,ac8008d8bb4b2aabe52b7edbdaf88ae09aee997c85d7d95d7f432b74d9fe575a,1995171903,1996171903,1997171903,8,256,500,False,False,False
heart_failure,4,171904,3,2,33,11,509ebd2ca915454d64189592c82ce92835f71a7ffed326714c4f80f11342d221,1995171904,1996171904,1997171904,8,256,500,False,False,False
heart_failure,4,171905,4,2,33,11,12e46e4c4b1895054aa418ae5c5729df8d714efb985490fb23255178ebc0a754,1995171905,1996171905,1997171905,8,256,500,False,False,False
heart_failure,4,171906,5,2,33,11,a8ac7fc037f0f5913c92b50f34f8b7d858c0508e9abd055b01bcb98c9e6fad48,1995171906,1996171906,1997171906,8,256,500,False,False,False
heart_failure,4,171907,6,2,33,11,b0665f8e22bee87021d0ebb7ee83e2c38357eae495f02e63ec8105e5e5645cac,1995171907,1996171907,1997171907,8,256,500,False,False,False
heart_failure,4,171908,7,2,33,11,264f708b7b89fc3655d1689d96387e05e297d708f357b9f7dc913c67189e7b7a,1995171908,1996171908,1997171908,8,256,500,False,False,False
