method,cohort,reward_contract,P_available,R_available,T_available,planning_component_ready_fraction,one_step_error,rollout_error,reward_error,calibration,support_error,model_exploitation,known_value_true_return,retrospective_ope_status,primary_factual_action_delta_rmse,executed_seed_rows,action_information_estimand
dreamer_v3_categorical_rssm,af flutter,unavailable,True,False,True,0.0,0.7539754789650296,1.0367031579367243,,0.0483280689561018,,,,not available; no approved retrospective contract,0.0011658533547434999,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
dreamer_v3_categorical_rssm,respiratory,resp_meddreamer_spo2_mbp,True,True,True,1.0,0.7731141708940944,1.4545360559427738,1.0494888318470517,0.042829915446774,0.0,1.0797203207679185,0.36197841996508706,not available; no approved retrospective contract,0.005255571674251534,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,respiratory,resp_meddreamer_spo2_mbp,True,True,True,1.0,0.6959484183864965,0.9722130935132034,1.0388338332684623,0.0453124242173524,0.0,1.0778084481760035,0.36256018393418843,not available; no approved retrospective contract,0.0006198049581673,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,respiratory,resp_meddreamer_spo2_mbp,True,True,True,1.0,0.700141729828006,1.0944942287354111,1.0428120499204983,0.0381062374052211,0.0,1.0782031374692194,0.36210386102591313,not available; no approved retrospective contract,0.0012619153789351332,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,respiratory,resp_meddreamer_spo2_mbp,True,True,True,1.0,0.6947431749270562,1.952376470458926,1.038520795494772,0.0365763194858524,0.0,1.0789109179292886,0.36200442521400134,not available; no approved retrospective contract,0.0008620518469661334,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
dreamer_v3_categorical_rssm,sepsis,sepsis_lactate_delta_component_diagnostic,True,True,True,1.0,0.7399760331108571,1.0563310146478366,0.5343366048646652,0.0451299109900921,,,,not available; no approved retrospective contract,0.001056203414055138,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,sepsis,sepsis_lactate_delta_component_diagnostic,True,True,True,1.0,0.6688643471163153,0.9260909409577534,0.5234086086720914,0.0403533510285334,,,,not available; no approved retrospective contract,0.0017032259669422,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,sepsis,sepsis_lactate_delta_component_diagnostic,True,True,True,1.0,0.6725147050321517,1.088942851848969,0.5434088276194271,0.0349484970520711,,,,not available; no approved retrospective contract,0.0017680980249983134,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,sepsis,sepsis_lactate_delta_component_diagnostic,True,True,True,1.0,0.6685809222979159,3.2683524286332357,0.5580656842312698,0.0348979665774278,,,,not available; no approved retrospective contract,0.0015165343381367,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
dreamer_v3_categorical_rssm,shock,shock_next_mbp_component,True,True,True,1.0,0.7685359131841749,1.2742703864255225,0.46830599024158764,0.0395103264827603,0.0,2.3437779098144786,0.36579190157544117,not available; no approved retrospective contract,0.0027404787629547664,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
gaussian_transition_ensemble,shock,shock_next_mbp_component,True,True,True,1.0,0.7036517936889496,0.9995726666712844,0.45699200378192417,0.0395341194978434,0.0,2.344349599043473,0.3657128279245412,not available; no approved retrospective contract,0.0016178585407926,1,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
grud_world_model,shock,shock_next_mbp_component,True,True,True,1.0,0.7075399462584571,1.1309904147186791,0.46580914567161397,0.0329413246442568,0.0,2.3442967556278003,0.36598050697601764,not available; no approved retrospective contract,0.002079522873669,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
transformer_world_model,shock,shock_next_mbp_component,True,True,True,1.0,0.7023592870900875,2.16990199903501,0.45641630560312424,0.0313527088426224,0.0,2.344478345593515,0.3656073697018847,not available; no approved retrospective contract,0.0019404777245114668,3,reward-relevant matched-shuffle minus observed-action RMSE; mean across executed seeds
