current_synthesis,source_artifact,source_sha256,source_repository_commit,numeric_role
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_e02_known_value_full_20260714_190217/ope_coverage_false_improvement.csv,b2fd4b1fa544e236a92a94e53475eda7baf1c0b04f20b1f833afa726acbd066c,aeccdde6fb8e413caed64908a70c980e7b39c109,"reference OPE tuple coverage, false-improvement, ESS, support, and precision metrics"
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_e02_known_value_full_20260714_190217/ope_rank_and_sign_recovery.csv,8b69520244f667c801c2fb43acbacfca7f3ab955071f5a922461546bdc7698f6,aeccdde6fb8e413caed64908a70c980e7b39c109,"reference OPE tuple rank, pairwise-order, and sign-recovery metrics"
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x02_cross_cohort_policy_benchmark_20260714_212452/cross_cohort_known_value_results.csv,b5ece2e362ef0d21cd6016a4da497dd343612da34961ef778ab2d3691ae46f69,aeccdde6fb8e413caed64908a70c980e7b39c109,full respiratory and shock known-value policy matrix
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x08_task_matched_evaluator_20260715_061859/estimator_contract_disposition.csv,7bbb27dc55b28766bcf91882a2b6f09f7fae87b71eb49adc504bdb367dddd085,aeccdde6fb8e413caed64908a70c980e7b39c109,AKI and heart-failure task-matched OPE tuple disposition
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x08_task_matched_evaluator_20260715_061859/task_matched_rank_sign_coverage.csv,c71b24274eaa61e07c46efbe5e0ba65f0ef9368222bf72a9200ad1c86440cb91,aeccdde6fb8e413caed64908a70c980e7b39c109,AKI and heart-failure task-matched OPE tuple metrics
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x09_promoted_cohort_policy_benchmark_20260715_063703/known_value_policy_results.csv,de16045b0b16b333941168b50cb49794707fc6303b42d9b12b0ccfa6f11200ae,aeccdde6fb8e413caed64908a70c980e7b39c109,full AKI and heart-failure known-value policy matrix
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x09_promoted_cohort_policy_benchmark_20260715_063703/world_model_planner_matrix.csv,7a0d01c61b12480e4ad12051f13e656df2b81ddc5d9720cc8e821a7ac00b9923,aeccdde6fb8e413caed64908a70c980e7b39c109,AKI and heart-failure world-model by planner matrix
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x09_promoted_cohort_policy_benchmark_20260715_063703/cross_task_rank_stability.csv,a9c28b5d08b76d4fa44265757173702714fd5636670d3b49b0fa46bc1254d769,aeccdde6fb8e413caed64908a70c980e7b39c109,AKI and heart-failure method rank stability
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x04_af_policy_promotion_20260715_042938/decision.md,aacdb5ef9ef927699ea74b4e91a2e34a148b36d0ece3b745229daa0b3fa1f192,aeccdde6fb8e413caed64908a70c980e7b39c109,AF world-model-only disposition
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x05_aki_rrt_policy_task_20260715_050038/aki_frozen_task_contract.csv,21e4e6ffb77b37f74b8532c46ffb0968844b68f4493c87642521a9189bcaf975,aeccdde6fb8e413caed64908a70c980e7b39c109,daily AKI RRT-initiation policy-task contract
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_x06_hf_policy_feasibility_20260715_062500/hf_frozen_task_contract_or_stop_receipt.csv,525711cbc60a3dffdda51c5988d33b3923ad66829567665bade9e10f489fde21,aeccdde6fb8e413caed64908a70c980e7b39c109,six-hour heart-failure policy-task contract
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_adapt01_adaptive_known_value_20260715_092634/adaptive_environment_contract.csv,52a17652a06309958c18660919700ad16692c0581a1c47203d483ea9e3f0181f,b0e87ecab4a343236fba168d8c7a3f0cb77fa236,adaptive exact-finite environment contracts
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_adapt01_adaptive_known_value_20260715_092634/adaptive_policy_true_returns.csv,b93ccd78ee409a247c3fd54f429e1014667f16d9eafeee81664c9b1b04add6ef,b0e87ecab4a343236fba168d8c7a3f0cb77fa236,all adaptive policy exact-return rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_adapt01_adaptive_known_value_20260715_092634/adaptive_policy_regret.csv,5686a7290186ba65b7ddb01f937bc120770ef27de4e1425498b6b10d5a658b77,b0e87ecab4a343236fba168d8c7a3f0cb77fa236,all adaptive policy exact-regret rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_adapt01_adaptive_known_value_20260715_092634/adaptive_exploitation_gap.csv,d55079ac0c1d5b9655ae80632790cc1c22eba3b17a4986bb21fae3b9264871cd,b0e87ecab4a343236fba168d8c7a3f0cb77fa236,adaptive world-model planner exploitation-gap rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_adapt01_adaptive_known_value_20260715_092634/adaptive_vs_best_fixed_gap.csv,ce06b5a5707f207bc3b047d6906b1986820ee66b20e88ac4dcdb68465204a135,b0e87ecab4a343236fba168d8c7a3f0cb77fa236,adaptive-oracle versus best-fixed-action preflight gate
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd107_heterogeneous_known_value_20260715_1010/policy_level_results.csv,cc0f4193e8a656cd3cceae60d44a0001f968aec8042be95f412e25957d66f5b8,c9ee050e,all heterogeneous known-value policy-seed rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd107_heterogeneous_known_value_20260715_1010/world_model_planner_factorial.csv,5e87e046132ab46c285f830def00c09e190cf5bad00e3b160e36e8fe81514dd6,c9ee050e,heterogeneous world-model by planner factorial rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd107_heterogeneous_known_value_20260715_1010/fixed_control_comparison.csv,38ecdcf9fa11ec6b03a2b58f8cf0fc8e8d8403b4030e8da251a38633a0f03540,c9ee050e,matched fixed-control exact returns
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd107_heterogeneous_known_value_20260715_1010/model_exploitation_gap.csv,a0f3965a2a6ca34cc2c4b99041cb2de4e39e4b71b261f225b369eb3895e6c555,c9ee050e,heterogeneous planner exploitation gaps
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd107_heterogeneous_known_value_20260715_1010/summary.md,24e5e25f36bdd3719fa9b4d0df2de39d17074e6ba2e6e2789eadda57ffa3a731,c9ee050e,frozen heterogeneous discrimination decision
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_ope_rd01_repeated_dataset_20260715_094928/repeated_dataset_coverage.csv,604499d951049db818dc8ea4102d57a395916a2ff77f8a0e1243e577a797a489,8b7de047,repeated-dataset empirical coverage rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_ope_rd01_repeated_dataset_20260715_094928/ope_rank_and_sign_recovery.csv,aa60490b72a831f8b88cc2fd91735ce196d40742a436117c6ab777b3bd77dc78,8b7de047,repeated-dataset OPE rank and sign diagnostics
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_ope_rd01_repeated_dataset_20260715_094928/ope_authorization_revised.csv,6c6485676664104f7cf4345e0df64b1254de5896e1462c0e763ec99c66b6cdf7,8b7de047,repeated-dataset frozen OPE authorization
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_ope_rd01_repeated_dataset_20260715_094928/policy_set_interval_inclusion_diagnostic.csv,277d2df37f9a082a2fb9fc65a7dcdd11cfcf9cd534daf1c2ae019bdb13d6af34,8b7de047,fixed-dataset inclusion diagnostic retained without coverage claim
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd115_heterogeneous_repeated_dataset_ope_20260715_112922/repeated_dataset_coverage.csv,77b47a5761a349a38025f052d1e4b4fd7da5ac0548e4ac5ae5f43934fbd7b16c,7a169b0a,heterogeneous repeated-dataset empirical coverage rows
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd115_heterogeneous_repeated_dataset_ope_20260715_112922/ope_rank_and_sign_recovery.csv,ca3635e60df9105102db4cf99fdd5e5733aba6598bc24daccca26b757a0b5a34,7a169b0a,heterogeneous repeated-dataset rank and sign diagnostics
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd115_heterogeneous_repeated_dataset_ope_20260715_112922/ope_authorization_heterogeneous.csv,f56ccb7ac16f485c3689e84a69eab1b4c7efa6491d59ea70cb76c5e2fedae96a,7a169b0a,heterogeneous repeated-dataset frozen OPE authorization
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd115_heterogeneous_repeated_dataset_ope_20260715_112922/mechanism_level_failure_summary.csv,207638b06b608980d00b9784c6f8895d095238baea357a8b560ad5a877a8ccfb,7a169b0a,heterogeneous mechanism-level OPE failure summary
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd115_heterogeneous_repeated_dataset_ope_20260715_112922/summary.md,55f91cd5192686292a5e738c2e0afa50a1ce3d90731272d1da173b5e4d9dd508,7a169b0a,frozen heterogeneous repeated-dataset OPE decision
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_bridge01_ehr_known_value_20260715_100646/prediction_policy_consistency.csv,338c25154722681c2baedb3d09a15849fe95712677a85579202e31d6f2d5bd40,b0f690e9,EHR prediction versus known-value policy consistency
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_bridge01_ehr_known_value_20260715_100646/uncertainty_planning_consistency.csv,3932ee548c7ae66d146fdd2b0078a0641b924f14488466f9edc6dd28da308f5d,b0f690e9,EHR uncertainty versus planner stability consistency
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_bridge01_ehr_known_value_20260715_100646/action_information_policy_discrimination.csv,e048dbfca3996fc7a9ccd93db7da0e8ca9d2383d11e41894d1ce0e34da9d517a,b0f690e9,EHR action information versus known-value discrimination
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_bridge01_ehr_known_value_20260715_100646/cross_surface_rank_stability.csv,573d5221a3f98cf286496d99c00b8e1fa6458ff0d12c70858dcbb390499336c6,b0f690e9,within-task model-family rank concordance
KDD-SYN-FINAL,kdd_benchmark_discovery/results/kdd_bridge01_ehr_known_value_20260715_100646/ehr_to_known_value_contract_matrix.csv,9fb54779daf9042cd968dfcbfdfee7b8af25b03cf9ae9f5114f4ef919e02dd7b,b0f690e9,EHR-to-known-value property provenance
