environment,task,response_regime,horizon,estimator,denominator_contract,clipping_contract,support_contract,target_policy,independent_logged_datasets,intervals_containing_exact_true_value,repeated_dataset_empirical_coverage,binomial_ci_low,binomial_ci_high,binomial_ci_method,true_value_invariant
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,severity_rule,200,163,0.815,0.7554293724,0.862698072,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,PDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,121,0.605,0.5358834916,0.6701589899,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,random_supported,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,minimum_supported_action,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,severity_rule,200,153,0.765,0.7015863112,0.8184256658,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,random_supported,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,minimum_supported_action,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,severity_rule,200,153,0.765,0.7015863112,0.8184256658,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,CWPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,empirical_behavior,200,156,0.78,0.7176120008,0.8318346164,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,random_supported,200,152,0.76,0.6962665902,0.8139338401,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,minimum_supported_action,200,119,0.595,0.5257971008,0.6606222872,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,maximum_supported_action,200,179,0.895,0.8448196801,0.9302925121,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,severity_rule,200,153,0.765,0.7015863112,0.8184256658,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,DR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,119,0.595,0.5257971008,0.6606222872,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,empirical_behavior,200,156,0.78,0.7176120008,0.8318346164,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,random_supported,200,155,0.775,0.7122587676,0.8273763028,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,minimum_supported_action,200,76,0.38,0.3155900585,0.4489328198,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,maximum_supported_action,200,176,0.88,0.827657479,0.9180200729,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,severity_rule,200,162,0.81,0.7499876129,0.8583282847,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WDR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,76,0.38,0.3155900585,0.4489328198,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,empirical_behavior,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,random_supported,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,maximum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,severity_rule,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,FQE,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,random_supported,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,minimum_supported_action,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,severity_rule,200,153,0.765,0.7015863112,0.8184256658,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,support_restricted_WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,random_supported,200,175,0.875,0.82198575,0.9138802552,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,minimum_supported_action,200,6,0.03,0.01382031434,0.06389429245,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,maximum_supported_action,200,29,0.145,0.1028935064,0.2004866753,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,severity_rule,200,7,0.035,0.01705554201,0.07047061152,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,IS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,6,0.03,0.01382031434,0.06389429245,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,random_supported,200,186,0.93,0.8859451911,0.9578478282,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,maximum_supported_action,200,39,0.195,0.1460552053,0.2554404437,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,severity_rule,200,22,0.11,0.0737724446,0.16092691,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,random_supported,200,184,0.92,0.8740105117,0.9501594141,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,minimum_supported_action,200,64,0.32,0.2592653332,0.3875189843,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,maximum_supported_action,200,117,0.585,0.515739149,0.6510571455,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,severity_rule,200,62,0.31,0.2499894484,0.3771717757,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,PDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,64,0.32,0.2592653332,0.3875189843,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,random_supported,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,maximum_supported_action,200,56,0.28,0.2223688977,0.3459230459,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,severity_rule,200,44,0.22,0.1681653836,0.2823879992,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,empirical_behavior,200,182,0.91,0.8622342812,0.9423125511,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,random_supported,200,182,0.91,0.8622342812,0.9423125511,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,maximum_supported_action,200,59,0.295,0.2361394386,0.3615871452,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,severity_rule,200,49,0.245,0.1905686809,0.3090424356,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,CWPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,empirical_behavior,200,147,0.735,0.6698242381,0.7913184585,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,random_supported,200,152,0.76,0.6962665902,0.8139338401,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,minimum_supported_action,200,56,0.28,0.2223688977,0.3459230459,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,maximum_supported_action,200,114,0.57,0.5007048776,0.6366567767,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,severity_rule,200,62,0.31,0.2499894484,0.3771717757,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,DR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,56,0.28,0.2223688977,0.3459230459,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,empirical_behavior,200,147,0.735,0.6698242381,0.7913184585,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,random_supported,200,148,0.74,0.675092544,0.7958616994,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,maximum_supported_action,200,56,0.28,0.2223688977,0.3459230459,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,severity_rule,200,46,0.23,0.1770934326,0.2930830437,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,WDR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,empirical_behavior,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,random_supported,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,maximum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,severity_rule,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,FQE,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,random_supported,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,maximum_supported_action,200,56,0.28,0.2223688977,0.3459230459,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,severity_rule,200,44,0.22,0.1681653836,0.2823879992,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,4,support_restricted_WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,random_supported,200,181,0.905,0.8563983884,0.9383368973,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,minimum_supported_action,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,maximum_supported_action,200,4,0.02,0.007804426416,0.05028708691,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,severity_rule,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,IS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,random_supported,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,maximum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,severity_rule,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,random_supported,200,179,0.895,0.8448196801,0.9302925121,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,minimum_supported_action,200,14,0.07,0.04215217183,0.1140548089,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,maximum_supported_action,200,61,0.305,0.2453641563,0.371985521,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,severity_rule,200,30,0.15,0.1071359356,0.2060557928,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,PDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,14,0.07,0.04215217183,0.1140548089,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,random_supported,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,maximum_supported_action,200,1,0.005,0.0008831687156,0.0277737044,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,severity_rule,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,empirical_behavior,200,137,0.685,0.6176504391,0.7453767901,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,random_supported,200,151,0.755,0.6909575644,0.8094313191,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,maximum_supported_action,200,1,0.005,0.0008831687156,0.0277737044,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,severity_rule,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,CWPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,empirical_behavior,200,157,0.785,0.7229769265,0.8362812375,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,random_supported,200,159,0.795,0.7337430195,0.845138238,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,minimum_supported_action,200,9,0.045,0.023852543,0.083296704,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,maximum_supported_action,200,58,0.29,0.2315402561,0.356374781,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,severity_rule,200,31,0.155,0.1113963693,0.2116069059,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,DR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,9,0.045,0.023852543,0.083296704,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,empirical_behavior,200,157,0.785,0.7229769265,0.8362812375,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,random_supported,200,148,0.74,0.675092544,0.7958616994,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,maximum_supported_action,200,1,0.005,0.0008831687156,0.0277737044,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,severity_rule,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,WDR,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,empirical_behavior,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,random_supported,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,maximum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,severity_rule,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,FQE,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,random_supported,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,minimum_supported_action,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,maximum_supported_action,200,1,0.005,0.0008831687156,0.0277737044,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,severity_rule,200,2,0.01,0.002746658134,0.03572176172,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,8,support_restricted_WPDIS,exact_behavior,none,masked,exact_dynamic_programming_oracle,200,0,0.0,1.734723476e-18,0.01884532638,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,random_supported,200,186,0.93,0.8859451911,0.9578478282,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,minimum_supported_action,200,13,0.065,0.03837635465,0.1080190793,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,severity_rule,200,86,0.43,0.3633432233,0.4992951224,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,IS,exact_behavior,20,masked,exact_dynamic_programming_oracle,200,13,0.065,0.03837635465,0.1080190793,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,20,masked,empirical_behavior,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,20,masked,random_supported,200,189,0.945,0.9042130012,0.9690146583,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,20,masked,minimum_supported_action,200,78,0.39,0.3250834314,0.4590625404,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,20,masked,maximum_supported_action,200,188,0.94,0.898068307,0.9653478057,wilson_95,True
respiratory_null_response_v1,respiratory,null_response,1,WIS,exact_behavior,20,masked,severity_rule,200,137,0.685,0.6176504391,0.7453767901,wilson_95,True
