metric_status,tier,regime,estimator,denominator,clipping,support_contract,horizon,policy_set_interval_inclusion_rate,false_improvement_rate,median_ess,max_unsupported_action_mass,maximum_paired_true_return_se,authorization_use,estimand
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,crossfit_stronger,none,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,1,0.6923076923,0.3076923077,151.9596954,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,2,0.6923076923,0.3076923077,35.06997828,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,4,0.6923076923,0.3076923077,4.800346983,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,8,0.6923076923,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,12,0.6923076923,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,masked,17,0.0,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,1,0.0,,35.86440678,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,2,0.0,,1.6,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,20.0,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,1,0.6923076923,0.3076923077,151.9596954,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,2,0.6923076923,0.3076923077,30.97826415,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,4,0.6923076923,0.3076923077,4.800346983,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,8,0.6923076923,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,12,0.6923076923,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,masked,17,0.0,0,5.991277667,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,1,0.0,,33.84615385,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,2,0.0,,1.497925311,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,1,0.6923076923,0,208.1030624,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,2,0.6923076923,0,55.21112289,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,4,0.6923076923,0.3076923077,4.990343103,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,8,0.6923076923,0,6.326184347,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,12,0.6153846154,0,6.326184347,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,17,0.0,0,7.557834086,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,1,0.0,,39.53191367,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,2,0.0,,1.783647711,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,1,0.6923076923,0,208.1030624,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,2,0.6923076923,0,55.21112289,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,4,0.6923076923,0.3076923077,4.990343103,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,8,0.6923076923,0,6.326184347,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,12,0.6153846154,0,6.326184347,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,17,0.0,0,7.557834086,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,1,0.0,,39.53191367,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,2,0.0,,1.783647711,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,1,0.6923076923,0,231.9591025,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,2,0.6923076923,0,69.61764147,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,4,0.6923076923,0,6.553852529,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,8,0.6153846154,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,12,0.6153846154,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,masked,17,0.0,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,1,0.0,,43.98757147,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,2,0.0,,1.998296529,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,20.0,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,1,0.6923076923,0,231.9591025,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,2,0.6923076923,0,69.61764147,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,4,0.6923076923,0,6.553852529,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,8,0.6153846154,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,12,0.6153846154,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,masked,17,0.0,0,5.988763601,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,1,0.0,,43.98757147,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,2,0.0,,1.998296529,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,CWPDIS,paper_lstm_h16,none,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,1,0.6923076923,0.3076923077,167.5550525,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,2,0.6923076923,0.3076923077,34.75098825,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,4,0.8461538462,0.07692307692,4.547855823,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,8,0.5384615385,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,12,0.5384615385,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,masked,17,0.3846153846,0,5.86327974,0.0,0.005215584832,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,1,0.0,,34.65892533,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,2,0.0,,1.734316062,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,4,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,8,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,12,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
diagnostic_only_not_frequentist_coverage,tier1_exact_finite,delayed,DR,crossfit_stronger,20.0,unrestricted_stress,17,0.0,,0.0,0.5,,prohibited,within_one_fixed_logged_dataset_fraction_of_prespecified_policy_intervals_containing_policy_truth
