environment,task,response_regime,horizon,estimator,denominator_contract,clipping_contract,support_contract,independent_logged_datasets,mean_spearman_rank_recovery,mean_pairwise_order_recovery,mean_behavior_relative_sign_recovery,false_improvement_probability,rank_and_sign_applicable,null_response_note
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,FQE,paper_lstm_h16,none,masked,500,0.5787428571,0.6306666667,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,crossfit_stronger,20,masked,500,0.786787577,0.846,0.9012,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,crossfit_stronger,none,masked,500,0.7832363774,0.8438666667,0.8992,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,exact_behavior,20,masked,500,0.7146449148,0.7808,0.77,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,exact_behavior,none,masked,500,0.7146449148,0.7808,0.77,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,misspecified_behavior,20,masked,500,0.6128697231,0.6569333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,misspecified_behavior,none,masked,500,0.6128697231,0.6569333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,paper_lstm_h16,20,masked,500,0.5952396902,0.6433333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,IS,paper_lstm_h16,none,masked,500,0.5952396902,0.6433333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,crossfit_stronger,20,masked,500,0.8157001942,0.8608,0.9052,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,crossfit_stronger,none,masked,500,0.8076835093,0.8561333333,0.8996,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,exact_behavior,20,masked,500,0.7562324072,0.8070666667,0.7852,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,exact_behavior,none,masked,500,0.7562324072,0.8070666667,0.7852,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,misspecified_behavior,20,masked,500,0.648462635,0.6845333333,0.6004,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,misspecified_behavior,none,masked,500,0.648462635,0.6845333333,0.6004,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,paper_lstm_h16,20,masked,500,0.6149218604,0.6589333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,PDIS,paper_lstm_h16,none,masked,500,0.6149218604,0.6589333333,0.6,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,crossfit_stronger,20,masked,500,0.8613714286,0.8897333333,0.8972,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,crossfit_stronger,none,masked,500,0.8590857143,0.8882666667,0.8952,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,exact_behavior,20,masked,500,0.8109714286,0.8478666667,0.8284,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,exact_behavior,none,masked,500,0.8109714286,0.8478666667,0.8284,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,misspecified_behavior,20,masked,500,0.7072,0.7616,0.668,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,misspecified_behavior,none,masked,500,0.7072,0.7616,0.668,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,paper_lstm_h16,20,masked,500,0.7140571429,0.7636,0.6624,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WDR,paper_lstm_h16,none,masked,500,0.7140571429,0.7636,0.6624,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,crossfit_stronger,20,masked,500,0.8108042619,0.8488,0.8548,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,crossfit_stronger,none,masked,500,0.8077102052,0.8472,0.8528,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,exact_behavior,20,masked,500,0.8167471191,0.8528,0.856,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,exact_behavior,none,masked,500,0.8167471191,0.8528,0.856,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,misspecified_behavior,20,masked,500,0.8236409688,0.8564,0.8688,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,misspecified_behavior,none,masked,500,0.8236409688,0.8564,0.8688,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,paper_lstm_h16,20,masked,500,0.8478019723,0.8744,0.8968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WIS,paper_lstm_h16,none,masked,500,0.8478019723,0.8744,0.8968,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,crossfit_stronger,20,masked,500,0.8331016557,0.8644,0.8804,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,crossfit_stronger,none,masked,500,0.828970685,0.8622666667,0.878,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,exact_behavior,20,masked,500,0.8253235531,0.8586666667,0.866,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,exact_behavior,none,masked,500,0.8253235531,0.8586666667,0.866,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,misspecified_behavior,20,masked,500,0.8252059304,0.8536,0.8544,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,misspecified_behavior,none,masked,500,0.8252059304,0.8536,0.8544,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,paper_lstm_h16,20,masked,500,0.8387183406,0.8633333333,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,WPDIS,paper_lstm_h16,none,masked,500,0.8387183406,0.8633333333,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,crossfit_stronger,20,masked,500,0.8331016557,0.8644,0.8804,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,crossfit_stronger,none,masked,500,0.828970685,0.8622666667,0.878,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,exact_behavior,20,masked,500,0.8253235531,0.8586666667,0.866,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,exact_behavior,none,masked,500,0.8253235531,0.8586666667,0.866,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,misspecified_behavior,20,masked,500,0.8252059304,0.8536,0.8544,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,misspecified_behavior,none,masked,500,0.8252059304,0.8536,0.8544,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,paper_lstm_h16,20,masked,500,0.8387183406,0.8633333333,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,2,support_restricted_WPDIS,paper_lstm_h16,none,masked,500,0.8387183406,0.8633333333,0.8636,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,crossfit_stronger,20,masked,500,0.5855820849,0.7338666667,0.7252,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,crossfit_stronger,none,masked,500,0.5823820849,0.7325333333,0.724,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,exact_behavior,20,masked,500,0.6536997076,0.7594666667,0.7648,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,exact_behavior,none,masked,500,0.6536997076,0.7594666667,0.7648,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,misspecified_behavior,20,masked,500,0.6932709291,0.7774666667,0.7852,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,misspecified_behavior,none,masked,500,0.6932709291,0.7774666667,0.7852,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,paper_lstm_h16,20,masked,500,0.7121380829,0.7954666667,0.8208,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,CWPDIS,paper_lstm_h16,none,masked,500,0.7121380829,0.7954666667,0.8208,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,crossfit_stronger,20,masked,500,0.5258285714,0.6922666667,0.6428,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,crossfit_stronger,none,masked,500,0.52,0.6897333333,0.64,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,exact_behavior,20,masked,500,0.6717714286,0.7690666667,0.7692,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,exact_behavior,none,masked,500,0.6717714286,0.7690666667,0.7692,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,misspecified_behavior,20,masked,500,0.6939428571,0.7997333333,0.8152,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,misspecified_behavior,none,masked,500,0.6939428571,0.7997333333,0.8152,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,paper_lstm_h16,20,masked,500,0.7030857143,0.8036,0.818,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,DR,paper_lstm_h16,none,masked,500,0.7030857143,0.8036,0.818,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,crossfit_stronger,20,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,crossfit_stronger,none,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,exact_behavior,20,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,exact_behavior,none,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,misspecified_behavior,20,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,misspecified_behavior,none,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,paper_lstm_h16,20,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,FQE,paper_lstm_h16,none,masked,500,0.7955428571,0.8197333333,0.6848,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,IS,crossfit_stronger,20,masked,500,0.628443003,0.7598666667,0.76,0.0,True,
aki_rrt_adaptive_composite_v1,aki_rrt,adaptive_composite,3,IS,crossfit_stronger,none,masked,500,0.6243287173,0.7584,0.7584,0.0,True,
