filename,pointer_or_column,equality,classification,justification
stage_resource_instrumentation_aggregate.json,/stages/3/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/4/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/4/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/4/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/4/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/5/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/5/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/5/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/5/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/6/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/6/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/6/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/6/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/7/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/7/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/7/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/7/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/8/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/8/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/8/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/8/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/9/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/9/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/9/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/9/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/10/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/10/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/10/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/10/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/11/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/11/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/11/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/11/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/12/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/12/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/12/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/12/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/13/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/13/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/13/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/13/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/14/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/14/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/14/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/14/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/15/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/15/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/15/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/15/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/16/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/16/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/16/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/16/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/17/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/17/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/17/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/17/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/18/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/18/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/18/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/18/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/19/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/19/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/19/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/19/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/20/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/20/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/20/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/20/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/21/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/21/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/21/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/21/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/22/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/22/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/22/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/22/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/23/elapsed_seconds,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/23/peak_rss_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/23/rss_entry_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
stage_resource_instrumentation_aggregate.json,/stages/23/rss_exit_kib,different,allowed_telemetry,frozen_stage_resource_allowlist
streaming_instrumentation_aggregate.csv,/,equal,exact,none
